Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628776690.066422,1628776690.079144,640,12.722015380859375,40,7,5,8847,1329,11,5,8689,983,
1628776691.109542,1628776691.12218,641,12.638092041015625,40,7,5,8849,1329,11,5,8691,983,
1628776692.147132,1628776692.160696,642,13.564109802246094,40,9,5,9023,1329,13,5,8781,983,
1628776693.182481,1628776693.194791,643,12.310028076171875,40,7,5,8842,1329,11,5,8684,983,
1628776694.226225,1628776694.238056,644,11.831045150756836,40,7,5,8853,1329,11,5,8695,983,
1628776695.28687,1628776695.298758,645,11.88802719116211,40,9,5,9031,1329,13,5,8789,983,
1628776696.34002,1628776696.353126,646,13.106107711791992,40,7,5,8850,1329,11,5,8692,983,
1628776697.391596,1628776697.402889,647,11.29293441772461,40,9,5,9082,1326,13,5,8837,983,
1628776698.438056,1628776698.450257,648,12.201070785522461,40,7,5,8855,1329,11,5,8697,983,
1628776699.475056,1628776699.486541,649,11.485099792480469,40,7,5,8842,1329,11,5,8684,983,
1628776700.52906,1628776700.542338,650,13.278007507324219,40,11,5,9253,1326,15,5,8924,983,
1628776701.568112,1628776701.580957,651,12.845039367675781,40,7,5,8848,1329,11,5,8690,983,
1628776702.608857,1628776702.621103,652,12.246131896972656,40,7,5,8852,1329,11,5,8694,983,
1628776703.657835,1628776703.670788,653,12.953042984008789,40,9,5,9027,1329,13,5,8785,983,
1628776704.694449,1628776704.70621,654,11.760950088500977,40,7,5,8843,1329,11,5,8685,983,
1628776705.742477,1628776705.753889,655,11.41214370727539,40,9,5,9076,1326,13,5,8831,983,
1628776706.778938,1628776706.79379,656,14.852046966552734,40,9,5,9028,1329,13,5,8786,983,
1628776707.814308,1628776707.826334,657,12.026071548461914,40,7,5,8845,1329,11,5,8687,983,
1628776708.853701,1628776708.865311,658,11.609792709350586,40,7,5,8845,1329,11,5,8687,983,
1628776709.893007,1628776709.9069,659,13.892889022827148,40,7,5,8858,1329,11,5,8700,983,
1628776710.946187,1628776710.958815,660,12.62807846069336,40,7,5,8850,1329,11,5,8692,983,
1628776711.98478,1628776711.99672,661,11.94000244140625,40,7,5,8850,1329,11,5,8692,983,
1628776713.046395,1628776713.05887,662,12.475013732910156,40,7,5,8845,1329,11,5,8687,983,
1628776714.085965,1628776714.101041,663,15.076160430908203,40,7,5,8858,1329,11,5,8700,983,
1628776715.132879,1628776715.147008,664,14.128923416137695,40,7,5,8856,1329,11,5,8698,983,
1628776716.178068,1628776716.191074,665,13.005971908569336,40,9,5,9028,1329,13,5,8786,983,
1628776717.234574,1628776717.249196,666,14.621973037719727,40,7,5,8852,1329,11,5,8694,983,
1628776718.276026,1628776718.289274,667,13.247966766357422,40,7,5,8853,1329,11,5,8695,983,
1628776719.32276,1628776719.334206,668,11.445999145507812,40,7,5,8851,1329,11,5,8693,983,
1628776720.364103,1628776720.378009,669,13.906002044677734,40,9,5,9075,1329,13,5,8833,983,
1628776721.426649,1628776721.440842,670,14.192819595336914,40,7,5,8854,1329,11,5,8696,983,
1628776722.461805,1628776722.473752,671,11.946916580200195,40,7,5,8848,1329,11,5,8690,983,
1628776723.513768,1628776723.526183,672,12.414932250976562,40,7,5,8851,1329,11,5,8693,983,
1628776724.564929,1628776724.578866,673,13.936996459960938,40,9,5,9032,1329,13,5,8790,983,
1628776725.603033,1628776725.614542,674,11.508941650390625,40,7,5,8856,1329,11,5,8698,983,
1628776726.64659,1628776726.658682,675,12.092113494873047,40,7,5,8849,1329,11,5,8691,983,
1628776727.694263,1628776727.706764,676,12.501001358032227,40,9,5,9028,1329,13,5,8786,983,
1628776728.736945,1628776728.749074,677,12.129068374633789,40,7,5,8856,1329,11,5,8698,983,
1628776729.778048,1628776729.790084,678,12.035846710205078,40,7,5,8847,1329,11,5,8689,983,
1628776730.815917,1628776730.830267,679,14.349937438964844,40,9,5,9024,1329,13,5,8782,983,
1628776731.861328,1628776731.878092,680,16.764163970947266,40,9,5,9037,1329,13,5,8795,983,
1628776732.898687,1628776732.911131,681,12.444019317626953,40,7,5,8850,1329,11,5,8692,983,
1628776733.940534,1628776733.954085,682,13.550996780395508,40,9,5,9078,1329,13,5,8836,983,
1628776734.982421,1628776734.994445,683,12.024164199829102,40,7,5,8842,1329,11,5,8684,983,
1628776736.034757,1628776736.046132,684,11.375188827514648,40,7,5,8846,1329,11,5,8688,983,
1628776737.067951,1628776737.079501,685,11.549949645996094,40,7,5,8846,1329,11,5,8688,983,
1628776738.110735,1628776738.122349,686,11.614084243774414,40,7,5,8853,1329,11,5,8695,983,
1628776739.146984,1628776739.159838,687,12.853860855102539,40,9,5,9083,1329,13,5,8841,983,
1628776740.182417,1628776740.195116,688,12.699127197265625,40,7,5,8852,1329,11,5,8694,983,
1628776741.227668,1628776741.239178,689,11.509895324707031,40,9,5,9074,1326,13,5,8829,983,
1628776742.265009,1628776742.278508,690,13.499021530151367,40,7,5,8844,1329,11,5,8686,983,
1628776743.302342,1628776743.314257,691,11.914968490600586,40,9,5,9079,1326,13,5,8834,983,
1628776744.344155,1628776744.356708,692,12.552976608276367,40,7,5,8847,1329,11,5,8689,983,
1628776745.38011,1628776745.391742,693,11.631965637207031,40,9,5,9085,1329,13,5,8843,983,
1628776746.41101,1628776746.422501,694,11.491060256958008,40,7,5,8844,1329,11,5,8686,983,
1628776747.450366,1628776747.462201,695,11.835098266601562,40,7,5,8855,1329,11,5,8697,983,
1628776748.490438,1628776748.504513,696,14.075040817260742,40,7,5,8848,1329,11,5,8690,983,
1628776749.529256,1628776749.542548,697,13.29183578491211,40,7,5,8853,1329,11,5,8695,983,
1628776750.574518,1628776750.588352,698,13.833999633789062,40,11,5,9252,1329,15,5,8926,983,
1628776751.627171,1628776751.638517,699,11.345863342285156,40,7,5,8855,1329,11,5,8697,983,
1628776752.677058,1628776752.690423,700,13.365030288696289,40,7,5,8846,1329,11,5,8688,983,
1628776753.731031,1628776753.742333,701,11.301994323730469,40,7,5,8853,1329,11,5,8695,983,
1628776754.779714,1628776754.792418,702,12.703895568847656,40,9,5,9076,1329,13,5,8834,983,
1628776755.829024,1628776755.843271,703,14.246940612792969,40,7,5,8854,1329,11,5,8696,983,
1628776756.879705,1628776756.891065,704,11.359930038452148,40,9,5,9076,1327,13,5,8832,983,
1628776757.93281,1628776757.946219,705,13.408899307250977,40,7,5,8855,1329,11,5,8697,983,
1628776758.984858,1628776758.996969,706,12.11094856262207,40,7,5,8849,1329,11,5,8691,983,
1628776760.024584,1628776760.038378,707,13.7939453125,40,9,5,9075,1326,13,5,8830,983,
1628776761.082322,1628776761.09458,708,12.258052825927734,40,7,5,8842,1329,11,5,8684,983,
1628776762.144368,1628776762.156796,709,12.428045272827148,40,11,5,9248,1329,15,5,8922,983,
1628776763.185876,1628776763.197284,710,11.408090591430664,40,7,5,8852,1329,11,5,8694,983,
1628776764.247133,1628776764.259808,711,12.675046920776367,40,9,5,9026,1329,13,5,8784,983,
1628776765.317994,1628776765.329243,712,11.24882698059082,40,7,5,8847,1329,11,5,8689,983,
1628776766.353936,1628776766.36727,713,13.334035873413086,40,7,5,8853,1329,11,5,8695,983,
1628776767.398322,1628776767.411389,714,13.067007064819336,40,7,5,8852,1329,11,5,8694,983,
1628776768.446095,1628776768.458639,715,12.543916702270508,40,7,5,8849,1329,11,5,8691,983,
1628776769.503455,1628776769.514707,716,11.252164840698242,40,9,5,9081,1326,13,5,8836,983,
1628776770.558039,1628776770.574833,717,16.79396629333496,40,9,5,9022,1329,13,5,8780,983,
1628776771.622848,1628776771.63452,718,11.672019958496094,40,7,5,8850,1329,11,5,8692,983,
1628776772.68765,1628776772.6991,719,11.450052261352539,40,9,5,9081,1329,13,5,8839,983,
1628776773.732003,1628776773.744592,720,12.588977813720703,40,7,5,8844,1329,11,5,8686,983,
1628776774.765794,1628776774.778127,721,12.332916259765625,40,9,5,9034,1329,13,5,8792,983,
1628776775.803043,1628776775.817268,722,14.225006103515625,40,7,5,8848,1329,11,5,8690,983,
1628776776.845357,1628776776.859094,723,13.736963272094727,40,9,5,9027,1329,13,5,8785,983,
1628776777.883465,1628776777.89491,724,11.445045471191406,40,9,5,9080,1326,13,5,8835,983,
1628776778.922506,1628776778.936997,725,14.490842819213867,40,7,5,8850,1329,11,5,8692,983,
1628776779.965156,1628776779.976683,726,11.526823043823242,40,7,5,8854,1329,11,5,8696,983,
1628776781.014385,1628776781.026483,727,12.098073959350586,40,9,5,9031,1329,13,5,8789,983,
1628776782.053581,1628776782.06542,728,11.838912963867188,40,7,5,8853,1329,11,5,8695,983,
1628776783.102666,1628776783.114749,729,12.083053588867188,40,7,5,8848,1329,11,5,8690,983,
1628776784.143308,1628776784.157456,730,14.14799690246582,40,9,5,9080,1326,13,5,8835,983,
1628776785.189138,1628776785.203439,731,14.301061630249023,40,7,5,8850,1329,11,5,8692,983,
1628776786.238609,1628776786.254088,732,15.478849411010742,40,9,5,9032,1329,13,5,8790,983,
1628776787.285926,1628776787.299051,733,13.124942779541016,40,7,5,8845,1329,11,5,8687,983,
1628776788.32981,1628776788.34167,734,11.860132217407227,40,7,5,8849,1329,11,5,8691,983,
1628776789.362212,1628776789.374148,735,11.935949325561523,40,7,5,8855,1329,11,5,8697,983,
1628776790.398455,1628776790.410903,736,12.44807243347168,40,7,5,8848,1329,11,5,8690,983,
1628776791.437558,1628776791.450646,737,13.087987899780273,40,9,5,9026,1329,13,5,8784,983,
1628776792.490361,1628776792.50243,738,12.068986892700195,40,7,5,8844,1329,11,5,8686,983,
1628776793.537303,1628776793.550202,739,12.898921966552734,40,7,5,8849,1329,11,5,8691,983,
