Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628780836.653299,1628780836.661264,2759,7.964849472045898,40,11,7,13427,1475,15,7,13101,1045,
1628780837.684388,1628780837.689358,2760,4.970073699951172,40,13,5,13651,1326,17,5,13238,983,
1628780838.726642,1628780838.731443,2761,4.801034927368164,40,13,5,13600,1329,17,5,13190,983,
1628780839.753442,1628780839.760379,2762,6.9370269775390625,40,13,5,13597,1329,17,5,13187,983,
1628780840.781593,1628780840.788407,2763,6.814002990722656,40,13,5,13608,1329,17,5,13198,983,
1628780841.829801,1628780841.835277,2764,5.4759979248046875,40,13,5,13602,1329,17,5,13192,983,
1628780842.871804,1628780842.876593,2765,4.789113998413086,40,15,5,13828,1326,19,5,13331,983,
1628780843.900496,1628780843.905285,2766,4.788875579833984,40,13,5,13607,1329,17,5,13197,983,
1628780844.944948,1628780844.950609,2767,5.6610107421875,40,13,5,13647,1326,17,5,13234,983,
1628780845.984001,1628780845.988768,2768,4.767179489135742,40,13,5,13599,1329,17,5,13189,983,
1628780847.006638,1628780847.011395,2769,4.756927490234375,40,13,5,13599,1329,17,5,13189,983,
1628780848.042638,1628780848.048364,2770,5.725860595703125,40,13,5,13605,1329,17,5,13195,983,
1628780849.071329,1628780849.07675,2771,5.420923233032227,40,13,5,13601,1329,17,5,13191,983,
1628780850.111874,1628780850.117592,2772,5.717992782592773,40,13,5,13602,1329,17,5,13192,983,
1628780851.13905,1628780851.145478,2773,6.428003311157227,40,13,5,13609,1329,17,5,13199,983,
1628780852.174727,1628780852.180447,2774,5.7201385498046875,40,13,5,13600,1329,17,5,13190,983,
1628780853.210596,1628780853.215183,2775,4.586935043334961,40,15,5,13776,1329,19,5,13282,983,
1628780854.262715,1628780854.269138,2776,6.422996520996094,40,13,5,13602,1329,17,5,13192,983,
1628780855.29486,1628780855.299289,2777,4.429101943969727,40,13,5,13599,1329,17,5,13189,983,
1628780856.328354,1628780856.333099,2778,4.745006561279297,40,11,5,13422,1329,15,5,13096,983,
1628780857.361083,1628780857.367378,2779,6.294965744018555,40,13,5,13607,1329,17,5,13197,983,
1628780858.401311,1628780858.407188,2780,5.877017974853516,40,13,5,13600,1329,17,5,13190,983,
1628780859.449563,1628780859.454241,2781,4.678010940551758,40,13,5,13597,1329,17,5,13187,983,
1628780860.483891,1628780860.487092,2782,3.201007843017578,40,11,5,13429,1329,15,5,13103,983,
1628780861.522367,1628780861.531479,2783,9.111881256103516,40,13,5,13601,1329,17,5,13191,983,
1628780862.568641,1628780862.573741,2784,5.100011825561523,40,11,5,13431,1329,15,5,13105,983,
1628780863.611647,1628780863.61759,2785,5.943059921264648,40,15,5,13832,1329,19,5,13338,983,
1628780864.653279,1628780864.658011,2786,4.731893539428711,40,11,5,13428,1329,15,5,13102,983,
1628780865.717316,1628780865.722269,2787,4.953145980834961,40,15,5,13832,1326,19,5,13335,983,
1628780866.751695,1628780866.757783,2788,6.088018417358398,40,11,5,13430,1329,15,5,13104,983,
1628780867.793278,1628780867.798849,2789,5.571126937866211,40,11,6,13420,1404,15,6,13094,1016,
1628780868.835869,1628780868.840506,2790,4.637002944946289,40,13,5,13605,1329,17,5,13195,983,
1628780869.877895,1628780869.883043,2791,5.1479339599609375,40,13,5,13602,1329,17,5,13192,983,
1628780870.913555,1628780870.91805,2792,4.495143890380859,40,11,5,13423,1329,15,5,13097,983,
1628780871.942614,1628780871.947514,2793,4.8999786376953125,40,13,5,13607,1329,17,5,13197,983,
1628780872.973982,1628780872.980639,2794,6.656885147094727,40,13,5,13607,1329,17,5,13197,983,
1628780874.025675,1628780874.031624,2795,5.9490203857421875,40,13,5,13606,1329,17,5,13196,983,
1628780875.054921,1628780875.061839,2796,6.918191909790039,40,13,7,13604,1475,17,7,13194,1045,
1628780876.091769,1628780876.095172,2797,3.4029483795166016,40,11,5,13422,1329,15,5,13096,983,
1628780877.120318,1628780877.124498,2798,4.179954528808594,40,13,5,13655,1329,17,5,13245,983,
1628780878.146631,1628780878.15259,2799,5.959033966064453,40,11,5,13419,1329,15,5,13093,983,
1628780879.178615,1628780879.183975,2800,5.359888076782227,40,13,5,13607,1329,17,5,13197,983,
