Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628782258.078449,1628782258.086717,3117,8.267879486083984,40,6,5,6629,1329,10,5,6513,983,
1628782259.11886,1628782259.126954,3118,8.094072341918945,40,6,5,6628,1329,10,5,6512,983,
1628782260.154124,1628782260.161144,3119,7.019996643066406,40,6,5,6633,1329,10,5,6517,983,
1628782261.195368,1628782261.206213,3120,10.844945907592773,40,8,5,6814,1329,12,5,6614,983,
1628782262.233207,1628782262.24089,3121,7.683038711547852,40,6,5,6633,1329,10,5,6517,983,
1628782263.263785,1628782263.27053,3122,6.745100021362305,40,6,5,6637,1329,10,5,6521,983,
1628782264.298634,1628782264.306759,3123,8.125066757202148,40,6,5,6636,1329,10,5,6520,983,
1628782265.329479,1628782265.338116,3124,8.636951446533203,40,6,5,6629,1329,10,5,6513,983,
1628782266.363077,1628782266.37126,3125,8.183002471923828,40,6,5,6635,1329,10,5,6519,983,
1628782267.41383,1628782267.422206,3126,8.375883102416992,40,6,5,6641,1329,10,5,6525,983,
1628782268.446647,1628782268.454555,3127,7.908105850219727,40,6,5,6635,1329,10,5,6519,983,
1628782269.486212,1628782269.494058,3128,7.845878601074219,40,6,5,6636,1329,10,5,6520,983,
1628782270.527744,1628782270.536763,3129,9.018898010253906,40,6,5,6638,1329,10,5,6522,983,
1628782271.565478,1628782271.572961,3130,7.483005523681641,40,6,5,6636,1329,10,5,6520,983,
1628782272.601548,1628782272.609623,3131,8.07499885559082,40,6,5,6629,1329,10,5,6513,983,
1628782273.63678,1628782273.645132,3132,8.352041244506836,40,6,5,6636,1329,10,5,6520,983,
1628782274.674254,1628782274.681016,3133,6.762027740478516,40,6,5,6633,1329,10,5,6517,983,
1628782275.703841,1628782275.711071,3134,7.230043411254883,40,6,5,6633,1329,10,5,6517,983,
1628782276.770553,1628782276.778186,3135,7.632970809936523,40,6,5,6638,1329,10,5,6522,983,
1628782277.810361,1628782277.818113,3136,7.752180099487305,40,6,5,6639,1329,10,5,6523,983,
1628782278.841735,1628782278.849623,3137,7.888078689575195,40,6,5,6631,1329,10,5,6515,983,
1628782279.877606,1628782279.884455,3138,6.849050521850586,40,6,5,6638,1329,10,5,6522,983,
1628782280.918175,1628782280.926038,3139,7.863044738769531,40,6,5,6640,1329,10,5,6524,983,
1628782281.951072,1628782281.958978,3140,7.9059600830078125,40,6,5,6634,1329,10,5,6518,983,
1628782282.985486,1628782282.994395,3141,8.908987045288086,40,6,5,6629,1329,10,5,6513,983,
1628782284.023688,1628782284.03022,3142,6.531953811645508,40,6,5,6637,1329,10,5,6521,983,
1628782285.061606,1628782285.070018,3143,8.41212272644043,40,6,5,6637,1329,10,5,6521,983,
1628782286.093183,1628782286.100749,3144,7.565975189208984,40,6,5,6633,1329,10,5,6517,983,
1628782287.125668,1628782287.133086,3145,7.417917251586914,40,6,5,6640,1329,10,5,6524,983,
1628782288.154345,1628782288.161013,3146,6.667852401733398,40,6,5,6631,1329,10,5,6515,983,
1628782289.185519,1628782289.193556,3147,8.037090301513672,40,6,5,6629,1329,10,5,6513,983,
1628782290.221316,1628782290.229651,3148,8.334875106811523,40,6,5,6634,1329,10,5,6518,983,
1628782291.249846,1628782291.25744,3149,7.594108581542969,40,6,5,6636,1329,10,5,6520,983,
1628782292.297519,1628782292.305807,3150,8.288145065307617,40,6,5,6637,1329,10,5,6521,983,
1628782293.333649,1628782293.341112,3151,7.462978363037109,40,6,5,6637,1329,10,5,6521,983,
1628782294.37105,1628782294.378733,3152,7.683038711547852,40,6,5,6632,1329,10,5,6516,983,
1628782295.406408,1628782295.413562,3153,7.153987884521484,40,6,7,6631,1475,10,7,6515,1045,
1628782296.437567,1628782296.445484,3154,7.916927337646484,40,6,5,6635,1329,10,5,6519,983,
1628782297.471763,1628782297.478928,3155,7.165193557739258,40,6,5,6637,1329,10,5,6521,983,
1628782298.499704,1628782298.506261,3156,6.557226181030273,40,6,5,6632,1329,10,5,6516,983,
