RSA,Dilithium 2,Dilithium 3,Dilithium 5,Falcon 512,Falcon 1024,
Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),
390.45119285583496,425.50086975097656,398.7281322479248,402.07982063293457,383.253812789917,401.22294425964355,
378.3271312713623,408.0500602722168,368.3469295501709,395.94292640686035,395.28608322143555,379.7330856323242,
375.31208992004395,414.0210151672363,419.54684257507324,401.1499881744385,390.3529644012451,410.6268882751465,
376.6298294067383,378.8630962371826,382.13300704956055,409.6810817718506,391.5269374847412,394.2899703979492,
393.21303367614746,429.83484268188477,397.9990482330322,378.97205352783203,378.1139850616455,393.79000663757324,
381.0551166534424,403.7618637084961,432.2218894958496,399.37591552734375,373.44884872436523,389.7700309753418,
403.37300300598145,402.1000862121582,427.5860786437988,398.1890678405762,373.7931251525879,360.076904296875,
384.9360942840576,406.57901763916016,411.06200218200684,367.1998977661133,384.5069408416748,380.50389289855957,
364.4289970397949,417.4768924713135,370.72205543518066,390.0728225708008,389.91594314575195,383.94784927368164,
384.9499225616455,404.16598320007324,430.433988571167,409.23500061035156,394.79899406433105,394.9398994445801,
383.73494148254395,419.18396949768066,407.8681468963623,360.9011173248291,391.8108940124512,380.9361457824707,
379.1959285736084,408.3859920501709,404.13808822631836,412.9362106323242,379.9600601196289,389.09387588500977,
387.0880603790283,373.78716468811035,408.79201889038086,396.9600200653076,368.81494522094727,389.94503021240234,
382.8158378601074,407.5350761413574,426.6669750213623,392.1499252319336,445.88303565979004,383.15296173095703,
394.09685134887695,403.0630588531494,414.08586502075195,404.46019172668457,390.2299404144287,392.01903343200684,
382.565975189209,402.9550552368164,419.7990894317627,383.9380741119385,375.72312355041504,364.2439842224121,
389.3899917602539,420.0448989868164,378.3588409423828,362.2100353240967,387.3429298400879,394.5140838623047,
391.8430805206299,395.3680992126465,371.51288986206055,382.0371627807617,370.38397789001465,360.5480194091797,
393.51606369018555,408.5419178009033,388.887882232666,392.941951751709,388.93914222717285,401.63207054138184,
396.4099884033203,405.4121971130371,367.83599853515625,363.5830879211426,391.29185676574707,377.98595428466797,
369.7690963745117,371.68097496032715,395.9031105041504,359.8189353942871,377.9120445251465,375.80204010009766,
382.6179504394531,391.6318416595459,410.764217376709,412.92619705200195,393.8250541687012,405.3828716278076,
361.0069751739502,394.27995681762695,403.84888648986816,360.41784286499023,367.5689697265625,393.7680721282959,
379.9459934234619,395.766019821167,406.13603591918945,404.9820899963379,373.30007553100586,401.3400077819824,
382.0948600769043,405.55691719055176,407.38701820373535,410.6879234313965,384.4928741455078,397.8261947631836,
395.1849937438965,412.261962890625,410.6278419494629,398.7109661102295,382.0919990539551,390.5808925628662,
384.8080635070801,398.49305152893066,376.7879009246826,418.1530475616455,390.73991775512695,366.4820194244385,
