Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers
1634669103,1634669103,161,377.2649765,falcon1024,1000,drop,RddjaknVjh.pcap,13,4,6015,228,0,0,0,0
1634669107,1634669108,162,355.9150696,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5907,228,0,0,0,0
1634669112,1634669112,163,390.2208805,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5971,228,0,0,0,0
1634669116,1634669116,164,366.5030003,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5912,228,0,0,0,0
1634669120,1634669121,165,349.0679264,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5973,228,0,0,0,0
1634669125,1634669125,166,387.7618313,falcon1024,1000,drop,RddjaknVjh.pcap,13,4,6017,228,0,0,0,0
1634669129,1634669129,167,430.4141998,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5912,228,0,0,0,0
1634669133,1634669134,168,353.8720608,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5904,228,0,0,0,0
1634669137,1634669138,169,360.1489067,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634669142,1634669142,170,368.0610657,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634669146,1634669146,171,387.5558376,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5901,228,0,0,0,0
1634669150,1634669151,172,371.6578484,falcon1024,1000,drop,RddjaknVjh.pcap,13,4,6022,228,0,0,0,0
1634669154,1634669155,173,376.500845,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5905,228,0,0,0,0
1634669159,1634669159,174,355.1449776,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5971,228,0,0,0,0
1634669163,1634669164,175,370.2871799,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634669167,1634669168,176,391.0400867,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634669172,1634669172,177,368.8099384,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5967,228,0,0,0,0
1634669176,1634669176,178,370.9571362,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5912,228,0,0,0,0
1634669180,1634669181,179,385.643959,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5908,228,0,0,0,0
1634669185,1634669185,180,359.1849804,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5968,228,0,0,0,0
1634669189,1634669189,181,352.7870178,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634669193,1634669193,182,383.8069439,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5975,228,0,0,0,0
1634669197,1634669198,183,387.5541687,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5975,228,0,0,0,0
1634669202,1634669202,184,365.5369282,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5909,228,0,0,0,0
1634669206,1634669206,185,373.652935,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5971,228,0,0,0,0
1634669210,1634669210,186,373.4600544,falcon1024,1000,drop,RddjaknVjh.pcap,11,5,5908,288,0,0,0,0
1634669214,1634669215,187,377.5520325,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5905,228,0,0,0,0
1634669219,1634669219,188,346.8689919,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5914,228,0,0,0,0
1634669223,1634669223,189,366.850853,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5908,228,0,0,0,0
1634669227,1634669227,190,337.7780914,falcon1024,1000,drop,RddjaknVjh.pcap,14,4,6078,228,0,0,0,0
1634669231,1634669232,191,374.3059635,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5910,228,0,0,0,0
1634669235,1634669236,192,371.1180687,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5915,228,0,0,0,0
1634669240,1634669240,193,350.3980637,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5911,228,0,0,0,0
1634669244,1634669244,194,373.8188744,falcon1024,1000,drop,RddjaknVjh.pcap,14,4,6081,228,0,0,0,0
1634669248,1634669249,195,380.4500103,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5971,228,0,0,0,0
1634669252,1634669253,196,353.7940979,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634669257,1634669257,197,344.3419933,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5967,228,0,0,0,0
1634669261,1634669261,198,369.2009449,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5910,228,0,0,0,0
1634669265,1634669265,199,383.4309578,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5912,228,0,0,0,0
1634669269,1634669270,200,360.0258827,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5907,228,0,0,0,0
1634669274,1634669274,201,376.16992,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5907,228,0,0,0,0
1634669278,1634669278,202,380.9561729,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5909,228,0,0,0,0
1634669282,1634669283,203,361.5269661,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5907,228,0,0,0,0
1634669286,1634669287,204,352.9150486,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5907,228,0,0,0,0
1634669291,1634669291,205,331.8109512,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5910,228,0,0,0,0
1634669295,1634669295,206,367.7020073,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5971,228,0,0,0,0
1634669299,1634669299,207,360.2778912,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634669303,1634669304,208,355.0400734,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5965,228,0,0,0,0
1634669307,1634669308,209,350.6000042,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634669312,1634669312,210,347.217083,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5973,228,0,0,0,0
1634669316,1634669316,211,370.7439899,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5975,228,0,0,0,0
1634669320,1634669320,212,370.5801964,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5967,228,0,0,0,0
1634669324,1634669325,213,380.9270859,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5973,228,0,0,0,0
1634669329,1634669329,214,365.7569885,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5912,228,0,0,0,0
1634669333,1634669333,215,360.7459068,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5967,228,0,0,0,0
1634669337,1634669338,216,367.484808,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634669341,1634669342,217,356.6100597,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5971,228,0,0,0,0
1634669346,1634669346,218,334.2158794,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5912,228,0,0,0,0
1634669350,1634669350,219,388.6311054,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5901,228,0,0,0,0
1634669354,1634669355,220,360.7010841,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634669358,1634669359,221,378.6020279,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5911,228,0,0,0,0
1634669363,1634669363,222,381.3619614,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5973,228,0,0,0,0
1634669367,1634669368,223,382.5728893,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5910,228,0,0,0,0
1634669371,1634669372,224,374.4590282,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5964,228,0,0,0,0
